年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11207,Ａ：農、林、漁、牧業,39115,1.36,8873446222,1.03
11207,Ｂ：礦業及土石採取業,23338,0.81,5607483866,0.65
11207,Ｃ：製造業,1036241,36.12,169270985653,19.62
11207,Ｄ：電力及燃氣供應業,21454,0.75,18616690704,2.16
11207,Ｅ：用水供應及污染整治業,15847,0.55,7202797929,0.83
11207,Ｆ：營建工程業,389267,13.57,83523735454,9.68
11207,Ｇ：批發及零售業,465780,16.23,87478024035,10.14
11207,Ｈ：運輸及倉儲業,176231,6.14,21582820804,2.50
11207,Ｉ：住宿及餐飲業,29339,1.02,2582969398,0.30
11207,Ｊ：出版影音及資通訊業,26581,0.93,3976237457,0.46
11207,Ｋ：金融及保險業,95993,3.35,313715391283,36.36
11207,Ｌ：不動產業,75412,2.63,26350847174,3.05
11207,Ｍ：專業、科學及技術服務業,200066,6.97,29952692502,3.47
11207,Ｎ：支援服務業,75853,2.64,13348555390,1.55
11207,Ｏ：公共行政及國防；強制性社會安全,193,0.01,10013643,0.00
11207,Ｐ：教育業,439,0.02,48181016,0.01
11207,Ｑ：醫療保健及社會工作服務業,61,0.00,2989952,0.00
11207,Ｒ：藝術、娛樂及休閒服務業,5553,0.19,596985645,0.07
11207,Ｓ：其他服務業,17710,0.62,1820019042,0.21
11207,Ｘ：不能歸類之行業,174535,6.09,68146209915,7.91
11208,Ａ：農、林、漁、牧業,46300,1.42,10739071033,1.19
11208,Ｂ：礦業及土石採取業,25320,0.78,6656501190,0.74
11208,Ｃ：製造業,1154400,35.40,191213224991,21.25
11208,Ｄ：電力及燃氣供應業,26838,0.82,18662725317,2.07
11208,Ｅ：用水供應及污染整治業,17938,0.55,2015346844,0.22
11208,Ｆ：營建工程業,433888,13.30,88976016651,9.89
11208,Ｇ：批發及零售業,517828,15.88,90035962812,10.01
11208,Ｈ：運輸及倉儲業,197683,6.06,13983931302,1.55
11208,Ｉ：住宿及餐飲業,34273,1.05,3111969502,0.35
11208,Ｊ：出版影音及資通訊業,30945,0.95,3981957589,0.44
11208,Ｋ：金融及保險業,150861,4.63,319844431881,35.54
11208,Ｌ：不動產業,82321,2.52,27215703065,3.02
11208,Ｍ：專業、科學及技術服務業,222193,6.81,32598502379,3.62
11208,Ｎ：支援服務業,83839,2.57,12611847132,1.40
11208,Ｏ：公共行政及國防；強制性社會安全,227,0.01,13614855,0.00
11208,Ｐ：教育業,476,0.01,54955493,0.01
11208,Ｑ：醫療保健及社會工作服務業,59,0.00,2820102,0.00
