年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11401,Ａ：農、林、漁、牧業,29954,1.38,8662949510,1.20
11401,Ｂ：礦業及土石採取業,16867,0.78,4954785586,0.68
11401,Ｃ：製造業,773286,35.68,147455013745,20.35
11401,Ｄ：電力及燃氣供應業,19551,0.90,12479720015,1.72
11401,Ｅ：用水供應及污染整治業,11403,0.53,8078616290,1.11
11401,Ｆ：營建工程業,304757,14.06,74200964998,10.24
11401,Ｇ：批發及零售業,330134,15.23,62465069735,8.62
11401,Ｈ：運輸及倉儲業,144049,6.65,11460399371,1.58
11401,Ｉ：住宿及餐飲業,19985,0.92,2533822351,0.35
11401,Ｊ：出版影音及資通訊業,18173,0.84,3309236958,0.46
11401,Ｋ：金融及保險業,74110,3.42,255082331372,35.20
11401,Ｌ：不動產業,70656,3.26,26345452742,3.64
11401,Ｍ：專業、科學及技術服務業,144411,6.66,23038695004,3.18
11401,Ｎ：支援服務業,62463,2.88,11326609114,1.56
11401,Ｏ：公共行政及國防；強制性社會安全,70,0.00,4706646,0.00
11401,Ｐ：教育業,266,0.01,42735755,0.01
11401,Ｑ：醫療保健及社會工作服務業,29,0.00,1606153,0.00
11401,Ｒ：藝術、娛樂及休閒服務業,3900,0.18,456027563,0.06
11401,Ｓ：其他服務業,12615,0.58,1503459356,0.21
11401,Ｘ：不能歸類之行業,130764,6.04,71320386671,9.83
11402,Ａ：農、林、漁、牧業,41668,1.51,9763695065,1.21
11402,Ｂ：礦業及土石採取業,23481,0.85,6782236569,0.84
11402,Ｃ：製造業,1051289,38.10,161254903263,19.97
11402,Ｄ：電力及燃氣供應業,23853,0.86,20409272910,2.53
11402,Ｅ：用水供應及污染整治業,14995,0.54,1715358980,0.21
11402,Ｆ：營建工程業,377102,13.67,82492035798,10.22
11402,Ｇ：批發及零售業,440294,15.96,81846956623,10.14
11402,Ｈ：運輸及倉儲業,155251,5.63,13326487173,1.65
11402,Ｉ：住宿及餐飲業,28620,1.04,2674272029,0.33
11402,Ｊ：出版影音及資通訊業,23501,0.85,3605513923,0.45
11402,Ｋ：金融及保險業,71944,2.61,289426312185,35.85
11402,Ｌ：不動產業,69578,2.52,23776266975,2.94
11402,Ｍ：專業、科學及技術服務業,191470,6.94,28189929882,3.49
11402,Ｎ：支援服務業,70309,2.55,11711385634,1.45
11402,Ｏ：公共行政及國防；強制性社會安全,139,0.01,7009102,0.00
11402,Ｐ：教育業,355,0.01,56659066,0.01
11402,Ｑ：醫療保健及社會工作服務業,34,0.00,1484224,0.00
11402,Ｒ：藝術、娛樂及休閒服務業,5159,0.19,684600279,0.08
11402,Ｓ：其他服務業,17419,0.63,1738450120,0.22
11402,Ｘ：不能歸類之行業,152537,5.53,67948915952,8.41
11403,Ａ：農、林、漁、牧業,51423,1.51,12045923355,1.28
11403,Ｂ：礦業及土石採取業,28141,0.83,7940015344,0.84
11403,Ｃ：製造業,1316737,38.62,202327613883,21.50
11403,Ｄ：電力及燃氣供應業,28733,0.84,20186479550,2.15
11403,Ｅ：用水供應及污染整治業,19027,0.56,2218681296,0.24
11403,Ｆ：營建工程業,467079,13.70,101336890131,10.77
11403,Ｇ：批發及零售業,553491,16.24,95244718212,10.12
11403,Ｈ：運輸及倉儲業,188309,5.52,15744097226,1.67
11403,Ｉ：住宿及餐飲業,35850,1.05,3216093245,0.34
11403,Ｊ：出版影音及資通訊業,27996,0.82,4888521744,0.52
11403,Ｋ：金融及保險業,78329,2.30,306210506980,32.54
11403,Ｌ：不動產業,80788,2.37,30237476666,3.21
11403,Ｍ：專業、科學及技術服務業,239548,7.03,38324621603,4.07
11403,Ｎ：支援服務業,88206,2.59,14680718063,1.56
11403,Ｏ：公共行政及國防；強制性社會安全,139,0.00,6931370,0.00
11403,Ｐ：教育業,449,0.01,66050917,0.01
11403,Ｑ：醫療保健及社會工作服務業,50,0.00,3424168,0.00
11403,Ｒ：藝術、娛樂及休閒服務業,6539,0.19,906665130,0.10
11403,Ｓ：其他服務業,22639,0.66,2268774054,0.24
11403,Ｘ：不能歸類之行業,175722,5.16,83030629689,8.84
11404,Ａ：農、林、漁、牧業,38868,1.47,9724272212,1.17
11404,Ｂ：礦業及土石採取業,21349,0.81,6160838334,0.74
11404,Ｃ：製造業,987681,37.44,177903691781,21.48
11404,Ｄ：電力及燃氣供應業,22432,0.85,16545484431,2.00
11404,Ｅ：用水供應及污染整治業,14097,0.53,8619590482,1.04
11404,Ｆ：營建工程業,357189,13.54,81222277240,9.81
11404,Ｇ：批發及零售業,414896,15.73,69175522439,8.35
11404,Ｈ：運輸及倉儲業,168873,6.40,12801292405,1.55
11404,Ｉ：住宿及餐飲業,26023,0.99,2412713478,0.29
11404,Ｊ：出版影音及資通訊業,21836,0.83,3520601518,0.43
11404,Ｋ：金融及保險業,71581,2.71,298079534113,35.99
11404,Ｌ：不動產業,69305,2.63,25467346323,3.07
11404,Ｍ：專業、科學及技術服務業,180369,6.84,28046619504,3.39
11404,Ｎ：支援服務業,72597,2.75,12506448452,1.51
11404,Ｏ：公共行政及國防；強制性社會安全,82,0.00,4196446,0.00
11404,Ｐ：教育業,314,0.01,48796908,0.01
11404,Ｑ：醫療保健及社會工作服務業,43,0.00,1779841,0.00
11404,Ｒ：藝術、娛樂及休閒服務業,4902,0.19,571212799,0.07
11404,Ｓ：其他服務業,16621,0.63,1659306269,0.20
11404,Ｘ：不能歸類之行業,148676,5.65,73863094179,8.90
11405,Ａ：農、林、漁、牧業,31020,1.45,7453486022,1.02
11405,Ｂ：礦業及土石採取業,17186,0.81,5432709093,0.74
11405,Ｃ：製造業,762911,35.75,132777175715,18.19
11405,Ｄ：電力及燃氣供應業,17977,0.84,17304552311,2.37
11405,Ｅ：用水供應及污染整治業,10820,0.51,1301317766,0.18
11405,Ｆ：營建工程業,283833,13.30,68697472759,9.41
11405,Ｇ：批發及零售業,320997,15.04,57483489405,7.87
11405,Ｈ：運輸及倉儲業,153894,7.21,11780991613,1.61
11405,Ｉ：住宿及餐飲業,20526,0.96,1945944809,0.27
11405,Ｊ：出版影音及資通訊業,17118,0.80,2759814952,0.38
11405,Ｋ：金融及保險業,72840,3.41,295465886770,40.47
11405,Ｌ：不動產業,65664,3.08,23201300281,3.18
11405,Ｍ：專業、科學及技術服務業,141397,6.63,21666116605,2.97
11405,Ｎ：支援服務業,63606,2.98,11865949628,1.63
11405,Ｏ：公共行政及國防；強制性社會安全,53,0.00,3629174,0.00
11405,Ｐ：教育業,262,0.01,42677745,0.01
11405,Ｑ：醫療保健及社會工作服務業,23,0.00,1517182,0.00
11405,Ｒ：藝術、娛樂及休閒服務業,4025,0.19,469893456,0.06
11405,Ｓ：其他服務業,12446,0.58,1550081396,0.21
11405,Ｘ：不能歸類之行業,137687,6.45,68816966443,9.43
11406,Ａ：農、林、漁、牧業,49975,1.51,12468445483,1.34
11406,Ｂ：礦業及土石採取業,27353,0.83,8301965861,0.89
11406,Ｃ：製造業,1258806,38.11,197852600290,21.26
11406,Ｄ：電力及燃氣供應業,27989,0.85,20552315032,2.21
11406,Ｅ：用水供應及污染整治業,17943,0.54,2132097574,0.23
11406,Ｆ：營建工程業,462664,14.01,103468697921,11.12
11406,Ｇ：批發及零售業,529091,16.02,86555587196,9.30
11406,Ｈ：運輸及倉儲業,182052,5.51,14497286309,1.56
11406,Ｉ：住宿及餐飲業,33232,1.01,3131379774,0.34
11406,Ｊ：出版影音及資通訊業,26653,0.81,4550609334,0.49
11406,Ｋ：金融及保險業,77551,2.35,315390131387,33.88
11406,Ｌ：不動產業,80929,2.45,30454131488,3.27
11406,Ｍ：專業、科學及技術服務業,229716,6.95,36191510386,3.89
11406,Ｎ：支援服務業,87139,2.64,15063416905,1.62
11406,Ｏ：公共行政及國防；強制性社會安全,154,0.00,7377756,0.00
11406,Ｐ：教育業,342,0.01,40049981,0.00
11406,Ｑ：醫療保健及社會工作服務業,46,0.00,1798599,0.00
11406,Ｒ：藝術、娛樂及休閒服務業,6092,0.18,816700845,0.09
11406,Ｓ：其他服務業,21405,0.65,2128086650,0.23
11406,Ｘ：不能歸類之行業,184264,5.57,77185119040,8.28
11407,Ａ：農、林、漁、牧業,41667,1.46,10027853327,1.08
11407,Ｂ：礦業及土石採取業,23605,0.83,6703938664,0.72
11407,Ｃ：製造業,1052110,36.83,181191709600,19.47
11407,Ｄ：電力及燃氣供應業,24362,0.85,19942455065,2.14
11407,Ｅ：用水供應及污染整治業,14990,0.52,8548196279,0.92
11407,Ｆ：營建工程業,391714,13.71,88304680806,9.49
11407,Ｇ：批發及零售業,439631,15.39,80713862674,8.67
11407,Ｈ：運輸及倉儲業,178505,6.25,13338488329,1.43
11407,Ｉ：住宿及餐飲業,28053,0.98,2446518980,0.26
11407,Ｊ：出版影音及資通訊業,22682,0.79,3712700919,0.40
11407,Ｋ：金融及保險業,103269,3.61,359412023289,38.62
11407,Ｌ：不動產業,76362,2.67,29947109576,3.22
11407,Ｍ：專業、科學及技術服務業,192562,6.74,35788387323,3.85
11407,Ｎ：支援服務業,77422,2.71,13624157371,1.46
11407,Ｏ：公共行政及國防；強制性社會安全,84,0.00,9469417,0.00
11407,Ｐ：教育業,335,0.01,47555195,0.01
11407,Ｑ：醫療保健及社會工作服務業,44,0.00,2424100,0.00
